entity_id,date,crime_head,BriefFacts,split,crime_subhead,suggested_acts,suggested_sections
16,2023-12-09,vehicle_theft,Incident of vehicle theft reported at HSR Layout Sector 2. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
17,2023-10-27,burglary,Incident of burglary reported at Jayanagar 4th Block. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
18,2023-01-08,fraud,Incident of fraud reported at Jayanagar 4th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
19,2025-01-29,assault,Incident of assault reported at Electronic City Phase 1. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
20,2025-06-29,assault,Incident of assault reported at Electronic City Phase 1. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
21,2024-10-11,women_crime,Incident of women crime reported at MG Road Metro Junction. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
22,2024-06-26,vehicle_theft,Incident of vehicle theft reported at Jayanagar 4th Block. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
23,2026-03-29,chain_snatching,Incident of chain snatching reported at Indiranagar 100ft Rd. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
24,2023-06-06,drug_offense,Incident of drug offense reported at Koramangala 5th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for contravention in relation to cannabis plant and cannabis,"Narcotic Drugs and Psychotropic Substances Act, 1985",20
25,2025-03-26,vehicle_theft,Incident of vehicle theft reported at Hebbal Flyover Junction. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
26,2024-05-31,fraud,Incident of fraud reported at MG Road Metro Junction. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
27,2023-01-17,women_crime,Incident of women crime reported at Yelahanka New Town. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
28,2025-11-12,vehicle_theft,Incident of vehicle theft reported at Whitefield ITPL Area. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
29,2023-06-15,women_crime,Incident of women crime reported at Whitefield ITPL Area. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
30,2024-11-17,cybercrime,Incident of cybercrime reported at Indiranagar 100ft Rd. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
31,2023-04-30,burglary,Incident of burglary reported at Hebbal Flyover Junction. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
32,2023-06-22,assault,Incident of assault reported at Indiranagar 100ft Rd. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
33,2024-05-21,vehicle_theft,Incident of vehicle theft reported at Malleshwaram 15th Cross. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
34,2024-02-02,chain_snatching,Incident of chain snatching reported at Whitefield ITPL Area. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
35,2025-12-09,cybercrime,Incident of cybercrime reported at Indiranagar 100ft Rd. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
36,2023-11-24,assault,Incident of assault reported at Yelahanka New Town. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
37,2026-05-22,robbery,Incident of robbery reported at Whitefield ITPL Area. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Punishment for robbery,"Indian Penal Code, 1860",392
38,2025-12-27,vehicle_theft,Incident of vehicle theft reported at Koramangala 5th Block. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
39,2025-11-17,women_crime,Incident of women crime reported at Indiranagar 100ft Rd. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
40,2023-05-29,vehicle_theft,Incident of vehicle theft reported at Koramangala 5th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
41,2024-05-30,assault,Incident of assault reported at Koramangala 5th Block. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
42,2025-01-31,cybercrime,Incident of cybercrime reported at Electronic City Phase 1. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
43,2025-06-27,vehicle_theft,Incident of vehicle theft reported at Electronic City Phase 1. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
44,2025-02-01,vehicle_theft,Incident of vehicle theft reported at Whitefield ITPL Area. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
45,2026-01-13,women_crime,Incident of women crime reported at Electronic City Phase 1. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
46,2024-04-07,assault,Incident of assault reported at Indiranagar 100ft Rd. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
47,2023-02-04,assault,Incident of assault reported at Jayanagar 4th Block. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
48,2023-03-09,robbery,Incident of robbery reported at Malleshwaram 15th Cross. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
49,2025-07-07,robbery,Incident of robbery reported at Jayanagar 4th Block. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for robbery,"Indian Penal Code, 1860",392
50,2024-01-20,cybercrime,Incident of cybercrime reported at Indiranagar 100ft Rd. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
51,2025-10-28,women_crime,Incident of women crime reported at HSR Layout Sector 2. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
52,2026-05-02,assault,Incident of assault reported at Indiranagar 100ft Rd. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
53,2023-11-25,vehicle_theft,Incident of vehicle theft reported at Yelahanka New Town. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
54,2025-04-11,vehicle_theft,Incident of vehicle theft reported at Indiranagar 100ft Rd. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
55,2023-06-17,burglary,Incident of burglary reported at MG Road Metro Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
56,2025-12-27,burglary,Incident of burglary reported at Hebbal Flyover Junction. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
57,2023-10-31,vehicle_theft,Incident of vehicle theft reported at Electronic City Phase 1. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
58,2024-03-20,vehicle_theft,Incident of vehicle theft reported at Indiranagar 100ft Rd. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
59,2023-09-03,robbery,Incident of robbery reported at Hebbal Flyover Junction. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
60,2026-03-04,fraud,Incident of fraud reported at HSR Layout Sector 2. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
61,2024-12-14,burglary,Incident of burglary reported at Malleshwaram 15th Cross. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
62,2024-09-07,cybercrime,Incident of cybercrime reported at Koramangala 5th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
63,2025-03-01,robbery,Incident of robbery reported at MG Road Metro Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for robbery,"Indian Penal Code, 1860",392
64,2023-12-01,assault,Incident of assault reported at HSR Layout Sector 2. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
65,2025-04-04,fraud,Incident of fraud reported at Yelahanka New Town. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
66,2023-12-26,burglary,Incident of burglary reported at Yelahanka New Town. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
67,2025-10-24,burglary,Incident of burglary reported at Whitefield ITPL Area. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
68,2023-09-01,burglary,Incident of burglary reported at Malleshwaram 15th Cross. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
69,2025-04-15,murder,Incident of murder reported at Jayanagar 4th Block. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for murder,"Indian Penal Code, 1860",302
70,2026-06-03,robbery,Incident of robbery reported at HSR Layout Sector 2. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Punishment for robbery,"Indian Penal Code, 1860",392
71,2023-03-15,rioting,Incident of rioting reported at Whitefield ITPL Area. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for rioting,"Indian Penal Code, 1860",147
72,2024-03-09,vehicle_theft,Incident of vehicle theft reported at Koramangala 5th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
73,2025-03-04,rioting,Incident of rioting reported at Electronic City Phase 1. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for rioting,"Indian Penal Code, 1860",147
74,2023-12-09,assault,Incident of assault reported at HSR Layout Sector 2. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
75,2025-09-28,assault,Incident of assault reported at MG Road Metro Junction. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
76,2024-01-01,assault,Incident of assault reported at Yelahanka New Town. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
77,2024-10-14,assault,Incident of assault reported at MG Road Metro Junction. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
78,2025-04-14,cybercrime,Incident of cybercrime reported at Koramangala 5th Block. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
79,2023-12-30,drug_offense,Incident of drug offense reported at Whitefield ITPL Area. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for contravention in relation to cannabis plant and cannabis,"Narcotic Drugs and Psychotropic Substances Act, 1985",20
80,2023-04-30,rioting,Incident of rioting reported at Yelahanka New Town. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for rioting,"Indian Penal Code, 1860",147
81,2024-05-15,robbery,Incident of robbery reported at Yelahanka New Town. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
82,2023-05-30,cybercrime,Incident of cybercrime reported at MG Road Metro Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
83,2023-02-03,cybercrime,Incident of cybercrime reported at Yelahanka New Town. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
84,2025-04-20,cybercrime,Incident of cybercrime reported at Whitefield ITPL Area. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
85,2023-11-29,burglary,Incident of burglary reported at Yelahanka New Town. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
86,2025-01-04,robbery,Incident of robbery reported at HSR Layout Sector 2. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for robbery,"Indian Penal Code, 1860",392
87,2026-01-21,women_crime,Incident of women crime reported at Hebbal Flyover Junction. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
88,2024-11-08,assault,Incident of assault reported at Koramangala 5th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
89,2023-10-17,robbery,Incident of robbery reported at Yelahanka New Town. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
90,2025-09-20,women_crime,Incident of women crime reported at Jayanagar 4th Block. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
91,2024-08-18,drug_offense,Incident of drug offense reported at Koramangala 5th Block. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for contravention in relation to cannabis plant and cannabis,"Narcotic Drugs and Psychotropic Substances Act, 1985",20
92,2026-03-17,assault,Incident of assault reported at Hebbal Flyover Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
93,2025-05-11,rioting,Incident of rioting reported at HSR Layout Sector 2. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for rioting,"Indian Penal Code, 1860",147
94,2024-11-17,burglary,Incident of burglary reported at Koramangala 5th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
95,2025-10-27,assault,Incident of assault reported at Indiranagar 100ft Rd. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
96,2023-09-09,cybercrime,Incident of cybercrime reported at Whitefield ITPL Area. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
97,2023-10-26,assault,Incident of assault reported at Yelahanka New Town. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
98,2025-06-10,burglary,Incident of burglary reported at Koramangala 5th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
99,2024-01-14,cybercrime,Incident of cybercrime reported at Indiranagar 100ft Rd. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
100,2024-05-28,cybercrime,Incident of cybercrime reported at Jayanagar 4th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
101,2024-12-10,murder,Incident of murder reported at Yelahanka New Town. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for murder,"Indian Penal Code, 1860",302
102,2025-05-23,women_crime,Incident of women crime reported at Electronic City Phase 1. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
103,2024-04-04,assault,Incident of assault reported at MG Road Metro Junction. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
104,2024-02-13,assault,Incident of assault reported at HSR Layout Sector 2. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
105,2023-06-12,assault,Incident of assault reported at MG Road Metro Junction. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
106,2025-10-17,chain_snatching,Incident of chain snatching reported at HSR Layout Sector 2. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
107,2024-06-11,robbery,Incident of robbery reported at Electronic City Phase 1. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
108,2023-05-16,vehicle_theft,Incident of vehicle theft reported at Hebbal Flyover Junction. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
109,2024-07-06,assault,Incident of assault reported at Indiranagar 100ft Rd. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
